entry_id,Temperature,Relative humidity,Heat Index
39071,35,24,34.4252
39072,35,13,30.734425
39073,35,13,30.734425
39074,34,27,35.278428
39075,34,32,39.122368
39076,33,14,29.258468
39077,33,14,29.258468
39078,33,16,29.604048
39079,32,22,30.804352
39080,32,15,28.6628
39081,32,15,28.6628
39082,32,32,37.149472
39083,32,37,41.771632
39084,31,15,27.954825
39085,32,15,28.6628
39086,32,35,39.8068
39087,31,15,27.954825
39088,31,31,35.535337
39089,35,25,35.010625
39090,31,32,36.329008
39091,39,12,34.138528
39092,30,37,40.0827
39093,37,12,32.337792
39094,33,15,29.411425
39095,31,26,32.131492
39096,31,36,39.880032
39097,31,15,27.954825
39098,31,15,27.954825
39099,31,15,27.954825
39100,31,15,27.954825
39101,30,16,27.4848
39102,31,36,39.880032
39103,31,15,27.954825
39104,32,15,28.6628
39105,31,41,45.165577
39106,31,15,27.954825
39107,31,38,41.881348
39108,31,15,27.954825
39109,30,16,27.4848
39110,30,37,40.0827
39111,30,28,32.7072
39112,30,16,27.4848
39113,30,27,32.0707
39114,30,16,27.4848
39115,30,28,32.7072
39116,30,16,27.4848
39117,30,18,27.9892
39118,30,16,27.4848
39119,30,16,27.4848
39120,30,45,49.1275
39121,30,32,35.6192
39122,30,16,27.4848
39123,30,39,42.1243
39124,30,16,27.4848
39125,30,38,41.0852
39126,30,29,33.3803
39127,31,17,28.375513
39128,31,16,28.146352
39129,30,27,32.0707
39130,33,14,29.258468
39131,25,15,24.560625
39132,30,16,27.4848
39133,30,16,27.4848
39134,30,16,27.4848
39135,30,33,36.4387
39136,30,16,27.4848
39137,29,27,31.494833
39138,30,38,41.0852
39139,30,36,39.1168
39140,30,16,27.4848
39141,37,15,32.812425
39142,30,31,34.8363
39143,30,36,39.1168
39144,30,27,32.0707
39145,30,37,40.0827
39146,30,42,45.4612
39147,30,32,35.6192
39148,30,16,27.4848
39149,30,27,32.0707
39150,30,30,34.09
39151,30,38,41.0852
39152,30,37,40.0827
39153,30,30,34.09
39154,31,16,28.146352
39155,30,16,27.4848
39156,30,54,62.1028
39157,30,16,27.4848
39158,31,35,38.935825
39159,30,16,27.4848
39160,30,30,34.09
39161,29,37,39.434113
39162,30,16,27.4848
39163,30,16,27.4848
39164,31,37,40.861873
39165,31,17,28.375513
39166,29,33,35.831753
39167,29,38,40.423588
39168,30,17,27.7187
39169,30,19,28.2963
39170,30,18,27.9892
,,Avg.=,32.9673724
