SCHCD,TotalStudents,Total_boys,Percntage_girls,Total_Pass,Result_Percentage,Tot_Teachers,Hyg_infra,Urban,North,South,East,West ,Central
9150202502,29,12,0.586206897,11,0.379310345,4,0.086956522,0,0,0,0,1,0
9151704701,40,16,0.6,0,0,5,0.08,0,0,0,0,1,0
9150206905,76,32,0.578947368,16,0.210526316,3,0.125,1,0,0,0,1,0
9151104501,74,35,0.527027027,20,0.27027027,6,0.090909091,0,0,0,0,1,0
9151717115,152,82,0.460526316,0,0,4,0.095238095,0,0,0,0,1,0
9151006902,78,38,0.512820513,90,1.153846154,6,0.117647059,1,0,0,0,1,0
9151718503,89,55,0.382022472,0,0,1,0.230769231,1,0,0,0,1,0
9151717113,103,54,0.475728155,0,0,2,0.1,0,0,0,0,1,0
9151709367,62,40,0.35483871,0,0,2,0.153846154,1,0,0,0,1,0
9151704002,247,122,0.506072874,0,0,2,0,0,0,0,0,1,0
9151006006,77,47,0.38961039,36,0.467532468,12,0.1,0,0,0,0,1,0
9150501211,565,324,0.426548673,0,0,6,0.095238095,0,0,0,0,1,0
9151509701,114,57,0.5,26,0.228070175,2,0.117647059,0,0,0,0,1,0
9151720511,181,98,0.458563536,0,0,6,0.08,0,0,0,0,1,0
9150810401,63,33,0.476190476,0,0,2,0.117647059,1,0,0,0,1,0
9151501801,79,30,0.620253165,18,0.227848101,2,0.125,0,0,0,0,1,0
9151508502,33,12,0.636363636,0,0,4,0.117647059,1,0,0,0,1,0
9151701201,190,109,0.426315789,0,0,6,0.095238095,0,0,0,0,1,0
9151308901,98,48,0.510204082,16,0.163265306,3,0.117647059,0,0,0,0,1,0
9151406101,103,49,0.524271845,41,0.398058252,3,0.153846154,0,0,0,0,1,0
9150501302,121,77,0.363636364,31,0.256198347,3,0.117647059,0,0,0,0,1,0
9150308005,163,86,0.472392638,0,0,6,0.071428571,0,0,0,0,1,0
9150501202,150,75,0.5,23,0.153333333,2,0.043478261,0,0,0,0,1,0
9151508501,84,45,0.464285714,42,0.5,4,0.153846154,1,0,0,0,1,0
9151206002,54,27,0.5,0,0,1,0.111111111,1,0,0,0,1,0
9151709364,130,67,0.484615385,0,0,2,0,0,0,0,0,1,0
9150807101,43,13,0.697674419,0,0,5,0.08,0,0,0,0,1,0
9151006202,48,23,0.520833333,0,0,5,0.111111111,0,0,0,0,1,0
9151508102,71,31,0.563380282,10,0.14084507,11,0.125,1,0,0,0,1,0
9151709356,55,31,0.436363636,0,0,6,0.117647059,1,0,0,0,1,0
9151717112,116,56,0.517241379,0,0,4,0.095238095,0,0,0,0,1,0
9151404104,69,28,0.594202899,24,0.347826087,4,0.090909091,1,0,0,0,1,0
9150807401,130,66,0.492307692,0,0,3,0.095238095,0,0,0,0,1,0
927010912,177,0,1,50,0.282485876,5,17.7,1,0,0,0,0,1
9270100904,233,117,0.497854077,111,0.47639485,1,2.099099099,1,0,0,0,0,1
9270101105,135,59,0.562962963,67,0.496296296,3,6.044776119,0,0,0,0,0,1
9270101913,238,0,1,40,0.168067227,4,23.8,0,0,0,0,0,1
9270102803,82,35,0.573170732,22,0.268292683,9,33.54545455,1,0,0,0,0,1
9270105004,219,115,0.474885845,100,0.456621005,1,2.19,0,0,0,0,0,1
9270105803,126,64,0.492063492,40,0.317460317,8,25.2,1,0,0,0,0,1
9270201002,348,202,0.41954023,221,0.635057471,4,6.298642534,0,0,0,0,0,1
9270201503,102,49,0.519607843,33,0.323529412,5,15.45454545,0,0,0,0,0,1
9270202101,70,40,0.428571429,22,0.314285714,6,19.09090909,0,0,0,0,0,1
9270202301,179,92,0.48603352,112,0.625698324,8,12.78571429,0,0,0,0,0,1
9070100101,109,57,0.47706422,50,0.458715596,7,0.090909091,0,0,0,0,1,0
9070100102,192,99,0.484375,0,0,7,0,0,0,0,0,1,0
9070100201,146,69,0.52739726,0,0,4,0.105263158,0,0,0,0,1,0
9070100202,47,20,0.574468085,9,0.191489362,4,0.105263158,0,0,0,0,1,0
9070100203,143,69,0.517482517,146,1.020979021,7,0.125,1,0,0,0,1,0
9070100205,74,39,0.472972973,0,0,7,0.181818182,1,0,0,0,1,0
9070100208,45,30,0.333333333,0,0,7,0.095238095,0,0,0,0,1,0
9070100301,42,19,0.547619048,129,3.071428571,4,0.1,1,0,0,0,1,0
